text,label,language
fuck,1,en
fuck!,1,en
fuck.,1,en
fuck lol,1,en
fuck bro,1,en
fuck man,1,en
fuck dude,1,en
you fuck,1,en
you fuck!,1,en
you fuck.,1,en
you fuck lol,1,en
you fuck bro,1,en
you fuck man,1,en
you fuck dude,1,en
u fuck,1,en
u fuck!,1,en
u fuck.,1,en
u fuck lol,1,en
u fuck bro,1,en
u fuck man,1,en
u fuck dude,1,en
hey fuck,1,en
hey fuck!,1,en
hey fuck.,1,en
hey fuck lol,1,en
hey fuck bro,1,en
hey fuck man,1,en
hey fuck dude,1,en
such a fuck,1,en
such a fuck!,1,en
such a fuck.,1,en
such a fuck lol,1,en
such a fuck bro,1,en
such a fuck man,1,en
such a fuck dude,1,en
what a fuck,1,en
what a fuck!,1,en
what a fuck.,1,en
what a fuck lol,1,en
what a fuck bro,1,en
what a fuck man,1,en
what a fuck dude,1,en
fuk,1,en
fuk!,1,en
fuk.,1,en
fuk lol,1,en
fuk bro,1,en
fuk man,1,en
fuk dude,1,en
you fuk,1,en
you fuk!,1,en
you fuk.,1,en
you fuk lol,1,en
you fuk bro,1,en
you fuk man,1,en
you fuk dude,1,en
u fuk,1,en
u fuk!,1,en
u fuk.,1,en
u fuk lol,1,en
u fuk bro,1,en
u fuk man,1,en
u fuk dude,1,en
hey fuk,1,en
hey fuk!,1,en
hey fuk.,1,en
hey fuk lol,1,en
hey fuk bro,1,en
hey fuk man,1,en
hey fuk dude,1,en
such a fuk,1,en
such a fuk!,1,en
such a fuk.,1,en
such a fuk lol,1,en
such a fuk bro,1,en
such a fuk man,1,en
such a fuk dude,1,en
what a fuk,1,en
what a fuk!,1,en
what a fuk.,1,en
what a fuk lol,1,en
what a fuk bro,1,en
what a fuk man,1,en
what a fuk dude,1,en
fck,1,en
fck!,1,en
fck.,1,en
fck lol,1,en
fck bro,1,en
fck man,1,en
fck dude,1,en
you fck,1,en
you fck!,1,en
you fck.,1,en
you fck lol,1,en
you fck bro,1,en
you fck man,1,en
you fck dude,1,en
u fck,1,en
u fck!,1,en
u fck.,1,en
u fck lol,1,en
u fck bro,1,en
u fck man,1,en
u fck dude,1,en
hey fck,1,en
hey fck!,1,en
hey fck.,1,en
hey fck lol,1,en
hey fck bro,1,en
hey fck man,1,en
hey fck dude,1,en
such a fck,1,en
such a fck!,1,en
such a fck.,1,en
such a fck lol,1,en
such a fck bro,1,en
such a fck man,1,en
such a fck dude,1,en
what a fck,1,en
what a fck!,1,en
what a fck.,1,en
what a fck lol,1,en
what a fck bro,1,en
what a fck man,1,en
what a fck dude,1,en
fucking,1,en
fucking!,1,en
fucking.,1,en
fucking lol,1,en
fucking bro,1,en
fucking man,1,en
