word,language,category,severity
fuck,en,explicit,high
fucking,en,explicit,high
fucked,en,explicit,high
fucker,en,explicit,high
motherfucker,en,explicit,critical
shit,en,profanity,medium
shitting,en,profanity,medium
bullshit,en,profanity,medium
asshole,en,profanity,medium
dumbass,en,insult,low
bitch,en,slur,high
bastard,en,insult,medium
crap,en,profanity,low
damn,en,profanity,low
dick,en,explicit,medium
pussy,en,explicit,high
slut,en,slur,high
whore,en,slur,high
cunt,en,slur,critical
twat,en,slur,high
idiot,en,insult,low
stupid,en,insult,low
bhenchod,hi,explicit,critical
bhenchodh,hi,explicit,critical
bc,hi,explicit,critical
madarchod,hi,explicit,critical
mc,hi,explicit,critical
gand,hi,explicit,high
gaand,hi,explicit,high
gandu,hi,explicit,high
chutiya,hi,insult,high
chutiye,hi,insult,high
chutiyapa,hi,insult,medium
chut,hi,explicit,high
bhosdike,hi,explicit,critical
bsdk,hi,explicit,critical
loda,hi,explicit,high
lauda,hi,explicit,high
saala,hi,insult,low
saale,hi,insult,low
harami,hi,insult,medium
kamina,hi,insult,medium
randi,hi,slur,critical
kutta,hi,insult,low
suar,hi,insult,low
