text,label,language
madarchod,1,hi-roman
madarchod hai,1,hi-roman
madarchod ho,1,hi-roman
madarchod tha,1,hi-roman
madarchod hain,1,hi-roman
madarchod aadmi,1,hi-roman
madarchod insaan,1,hi-roman
madarchod saale,1,hi-roman
madarchod kutte,1,hi-roman
madarchod yaar,1,hi-roman
tu madarchod,1,hi-roman
tu madarchod hai,1,hi-roman
tu madarchod ho,1,hi-roman
tu madarchod tha,1,hi-roman
tu madarchod hain,1,hi-roman
tu madarchod aadmi,1,hi-roman
tu madarchod insaan,1,hi-roman
tu madarchod saale,1,hi-roman
tu madarchod kutte,1,hi-roman
tu madarchod yaar,1,hi-roman
tum madarchod,1,hi-roman
tum madarchod hai,1,hi-roman
tum madarchod ho,1,hi-roman
tum madarchod tha,1,hi-roman
tum madarchod hain,1,hi-roman
tum madarchod aadmi,1,hi-roman
tum madarchod insaan,1,hi-roman
tum madarchod saale,1,hi-roman
tum madarchod kutte,1,hi-roman
tum madarchod yaar,1,hi-roman
abe madarchod,1,hi-roman
abe madarchod hai,1,hi-roman
abe madarchod ho,1,hi-roman
abe madarchod tha,1,hi-roman
abe madarchod hain,1,hi-roman
abe madarchod aadmi,1,hi-roman
abe madarchod insaan,1,hi-roman
abe madarchod saale,1,hi-roman
abe madarchod kutte,1,hi-roman
abe madarchod yaar,1,hi-roman
oye madarchod,1,hi-roman
oye madarchod hai,1,hi-roman
oye madarchod ho,1,hi-roman
oye madarchod tha,1,hi-roman
oye madarchod hain,1,hi-roman
oye madarchod aadmi,1,hi-roman
oye madarchod insaan,1,hi-roman
oye madarchod saale,1,hi-roman
oye madarchod kutte,1,hi-roman
oye madarchod yaar,1,hi-roman
are madarchod,1,hi-roman
are madarchod hai,1,hi-roman
are madarchod ho,1,hi-roman
are madarchod tha,1,hi-roman
are madarchod hain,1,hi-roman
are madarchod aadmi,1,hi-roman
are madarchod insaan,1,hi-roman
are madarchod saale,1,hi-roman
are madarchod kutte,1,hi-roman
are madarchod yaar,1,hi-roman
sun madarchod,1,hi-roman
sun madarchod hai,1,hi-roman
sun madarchod ho,1,hi-roman
sun madarchod tha,1,hi-roman
sun madarchod hain,1,hi-roman
sun madarchod aadmi,1,hi-roman
sun madarchod insaan,1,hi-roman
sun madarchod saale,1,hi-roman
sun madarchod kutte,1,hi-roman
sun madarchod yaar,1,hi-roman
dekh madarchod,1,hi-roman
dekh madarchod hai,1,hi-roman
dekh madarchod ho,1,hi-roman
dekh madarchod tha,1,hi-roman
dekh madarchod hain,1,hi-roman
dekh madarchod aadmi,1,hi-roman
dekh madarchod insaan,1,hi-roman
dekh madarchod saale,1,hi-roman
dekh madarchod kutte,1,hi-roman
dekh madarchod yaar,1,hi-roman
madarchut,1,hi-roman
madarchut hai,1,hi-roman
madarchut ho,1,hi-roman
madarchut tha,1,hi-roman
madarchut hain,1,hi-roman
madarchut aadmi,1,hi-roman
madarchut insaan,1,hi-roman
madarchut saale,1,hi-roman
madarchut kutte,1,hi-roman
madarchut yaar,1,hi-roman
tu madarchut,1,hi-roman
tu madarchut hai,1,hi-roman
tu madarchut ho,1,hi-roman
tu madarchut tha,1,hi-roman
tu madarchut hain,1,hi-roman
tu madarchut aadmi,1,hi-roman
tu madarchut insaan,1,hi-roman
tu madarchut saale,1,hi-roman
tu madarchut kutte,1,hi-roman
tu madarchut yaar,1,hi-roman
tum madarchut,1,hi-roman
tum madarchut hai,1,hi-roman
tum madarchut ho,1,hi-roman
tum madarchut tha,1,hi-roman
tum madarchut hain,1,hi-roman
tum madarchut aadmi,1,hi-roman
tum madarchut insaan,1,hi-roman
tum madarchut saale,1,hi-roman
tum madarchut kutte,1,hi-roman
tum madarchut yaar,1,hi-roman
abe madarchut,1,hi-roman
abe madarchut hai,1,hi-roman
abe madarchut ho,1,hi-roman
abe madarchut tha,1,hi-roman
abe madarchut hain,1,hi-roman
abe madarchut aadmi,1,hi-roman
abe madarchut insaan,1,hi-roman
abe madarchut saale,1,hi-roman
abe madarchut kutte,1,hi-roman
abe madarchut yaar,1,hi-roman
oye madarchut,1,hi-roman
oye madarchut hai,1,hi-roman
oye madarchut ho,1,hi-roman
oye madarchut tha,1,hi-roman
oye madarchut hain,1,hi-roman
oye madarchut aadmi,1,hi-roman
oye madarchut insaan,1,hi-roman
oye madarchut saale,1,hi-roman
oye madarchut kutte,1,hi-roman
oye madarchut yaar,1,hi-roman
are madarchut,1,hi-roman
are madarchut hai,1,hi-roman
are madarchut ho,1,hi-roman
are madarchut tha,1,hi-roman
are madarchut hain,1,hi-roman
are madarchut aadmi,1,hi-roman
are madarchut insaan,1,hi-roman
are madarchut saale,1,hi-roman
are madarchut kutte,1,hi-roman
are madarchut yaar,1,hi-roman
sun madarchut,1,hi-roman
sun madarchut hai,1,hi-roman
sun madarchut ho,1,hi-roman
sun madarchut tha,1,hi-roman
sun madarchut hain,1,hi-roman
sun madarchut aadmi,1,hi-roman
sun madarchut insaan,1,hi-roman
sun madarchut saale,1,hi-roman
sun madarchut kutte,1,hi-roman
sun madarchut yaar,1,hi-roman
dekh madarchut,1,hi-roman
dekh madarchut hai,1,hi-roman
dekh madarchut ho,1,hi-roman
dekh madarchut tha,1,hi-roman
dekh madarchut hain,1,hi-roman
dekh madarchut aadmi,1,hi-roman
dekh madarchut insaan,1,hi-roman
dekh madarchut saale,1,hi-roman
dekh madarchut kutte,1,hi-roman
dekh madarchut yaar,1,hi-roman
madarchoot,1,hi-roman
madarchoot hai,1,hi-roman
madarchoot ho,1,hi-roman
madarchoot tha,1,hi-roman
madarchoot hain,1,hi-roman
madarchoot aadmi,1,hi-roman
madarchoot insaan,1,hi-roman
madarchoot saale,1,hi-roman
madarchoot kutte,1,hi-roman
madarchoot yaar,1,hi-roman
tu madarchoot,1,hi-roman
tu madarchoot hai,1,hi-roman
tu madarchoot ho,1,hi-roman
tu madarchoot tha,1,hi-roman
tu madarchoot hain,1,hi-roman
tu madarchoot aadmi,1,hi-roman
tu madarchoot insaan,1,hi-roman
tu madarchoot saale,1,hi-roman
tu madarchoot kutte,1,hi-roman
tu madarchoot yaar,1,hi-roman
tum madarchoot,1,hi-roman
tum madarchoot hai,1,hi-roman
tum madarchoot ho,1,hi-roman
tum madarchoot tha,1,hi-roman
tum madarchoot hain,1,hi-roman
tum madarchoot aadmi,1,hi-roman
tum madarchoot insaan,1,hi-roman
tum madarchoot saale,1,hi-roman
tum madarchoot kutte,1,hi-roman
tum madarchoot yaar,1,hi-roman
abe madarchoot,1,hi-roman
abe madarchoot hai,1,hi-roman
abe madarchoot ho,1,hi-roman
abe madarchoot tha,1,hi-roman
abe madarchoot hain,1,hi-roman
abe madarchoot aadmi,1,hi-roman
abe madarchoot insaan,1,hi-roman
abe madarchoot saale,1,hi-roman
abe madarchoot kutte,1,hi-roman
abe madarchoot yaar,1,hi-roman
oye madarchoot,1,hi-roman
oye madarchoot hai,1,hi-roman
oye madarchoot ho,1,hi-roman
oye madarchoot tha,1,hi-roman
oye madarchoot hain,1,hi-roman
oye madarchoot aadmi,1,hi-roman
oye madarchoot insaan,1,hi-roman
oye madarchoot saale,1,hi-roman
oye madarchoot kutte,1,hi-roman
oye madarchoot yaar,1,hi-roman
are madarchoot,1,hi-roman
are madarchoot hai,1,hi-roman
are madarchoot ho,1,hi-roman
are madarchoot tha,1,hi-roman
are madarchoot hain,1,hi-roman
are madarchoot aadmi,1,hi-roman
are madarchoot insaan,1,hi-roman
are madarchoot saale,1,hi-roman
are madarchoot kutte,1,hi-roman
are madarchoot yaar,1,hi-roman
sun madarchoot,1,hi-roman
sun madarchoot hai,1,hi-roman
sun madarchoot ho,1,hi-roman
sun madarchoot tha,1,hi-roman
sun madarchoot hain,1,hi-roman
sun madarchoot aadmi,1,hi-roman
sun madarchoot insaan,1,hi-roman
sun madarchoot saale,1,hi-roman
sun madarchoot kutte,1,hi-roman
sun madarchoot yaar,1,hi-roman
dekh madarchoot,1,hi-roman
dekh madarchoot hai,1,hi-roman
dekh madarchoot ho,1,hi-roman
dekh madarchoot tha,1,hi-roman
dekh madarchoot hain,1,hi-roman
dekh madarchoot aadmi,1,hi-roman
dekh madarchoot insaan,1,hi-roman
dekh madarchoot saale,1,hi-roman
dekh madarchoot kutte,1,hi-roman
dekh madarchoot yaar,1,hi-roman
maderchod,1,hi-roman
maderchod hai,1,hi-roman
maderchod ho,1,hi-roman
maderchod tha,1,hi-roman
maderchod hain,1,hi-roman
maderchod aadmi,1,hi-roman
maderchod insaan,1,hi-roman
maderchod saale,1,hi-roman
maderchod kutte,1,hi-roman
maderchod yaar,1,hi-roman
tu maderchod,1,hi-roman
tu maderchod hai,1,hi-roman
tu maderchod ho,1,hi-roman
tu maderchod tha,1,hi-roman
tu maderchod hain,1,hi-roman
tu maderchod aadmi,1,hi-roman
tu maderchod insaan,1,hi-roman
tu maderchod saale,1,hi-roman
tu maderchod kutte,1,hi-roman
tu maderchod yaar,1,hi-roman
tum maderchod,1,hi-roman
tum maderchod hai,1,hi-roman
tum maderchod ho,1,hi-roman
tum maderchod tha,1,hi-roman
tum maderchod hain,1,hi-roman
tum maderchod aadmi,1,hi-roman
tum maderchod insaan,1,hi-roman
tum maderchod saale,1,hi-roman
tum maderchod kutte,1,hi-roman
tum maderchod yaar,1,hi-roman
abe maderchod,1,hi-roman
abe maderchod hai,1,hi-roman
abe maderchod ho,1,hi-roman
abe maderchod tha,1,hi-roman
abe maderchod hain,1,hi-roman
abe maderchod aadmi,1,hi-roman
abe maderchod insaan,1,hi-roman
abe maderchod saale,1,hi-roman
abe maderchod kutte,1,hi-roman
abe maderchod yaar,1,hi-roman
oye maderchod,1,hi-roman
oye maderchod hai,1,hi-roman
oye maderchod ho,1,hi-roman
oye maderchod tha,1,hi-roman
oye maderchod hain,1,hi-roman
oye maderchod aadmi,1,hi-roman
oye maderchod insaan,1,hi-roman
oye maderchod saale,1,hi-roman
oye maderchod kutte,1,hi-roman
oye maderchod yaar,1,hi-roman
are maderchod,1,hi-roman
are maderchod hai,1,hi-roman
are maderchod ho,1,hi-roman
are maderchod tha,1,hi-roman
are maderchod hain,1,hi-roman
are maderchod aadmi,1,hi-roman
are maderchod insaan,1,hi-roman
